Id,LATITUDE,LONGITUDE,Region,City,Country
1,51.507393,-0.1277,Central London,London,United Kingdom
2,48.8566,2.3522,Paris,Paris,France
3,51.507393,-0.1277,Central London,London,United Kingdom
4,51.539188,-0.1425,Camden,London,United Kingdom
5,24.1302,55.8023,Al Ain,Al Ain,UAE
6,51.507393,-0.1277,Central London,London,United Kingdom
7,51.46093,-0.11602,Brixton,London,United Kingdom
8,23.588,58.3829,Muscat,Muscat,Oman
9,51.485649,-0.13691,Pimlico,London,United Kingdom
11,53.4808,-2.244644,Manchester,Manchester,United Kingdom
12,52.489471,-1.898575,Birmingham,Birmingham,United Kingdom
13,51.507393,-0.1277,Central London,London,United Kingdom
